English name,scientific name,order,family
Common Ostrich,Struthio camelus,Struthioniformes,Struthionidae (Ostriches)
Somali Ostrich,Struthio molybdophanes,Struthioniformes,Struthionidae (Ostriches)
Greater Rhea,Rhea americana,Rheiformes,Rheidae (Rheas)
Lesser Rhea,Rhea pennata,Rheiformes,Rheidae (Rheas)
Tawny-breasted Tinamou,Nothocercus julius,Tinamiformes,Tinamidae (Tinamous)
Highland Tinamou,Nothocercus bonapartei,Tinamiformes,Tinamidae (Tinamous)
Hooded Tinamou,Nothocercus nigrocapillus,Tinamiformes,Tinamidae (Tinamous)
Gray Tinamou,Tinamus tao,Tinamiformes,Tinamidae (Tinamous)
Solitary Tinamou,Tinamus solitarius,Tinamiformes,Tinamidae (Tinamous)
Black Tinamou,Tinamus osgoodi,Tinamiformes,Tinamidae (Tinamous)
Great Tinamou,Tinamus major,Tinamiformes,Tinamidae (Tinamous)
White-throated Tinamou,Tinamus guttatus,Tinamiformes,Tinamidae (Tinamous)
Cinereous Tinamou,Crypturellus cinereus,Tinamiformes,Tinamidae (Tinamous)
Berlepsch's Tinamou,Crypturellus berlepschi,Tinamiformes,Tinamidae (Tinamous)
Little Tinamou,Crypturellus soui,Tinamiformes,Tinamidae (Tinamous)
Tepui Tinamou,Crypturellus ptaritepui,Tinamiformes,Tinamidae (Tinamous)
Brown Tinamou,Crypturellus obsoletus,Tinamiformes,Tinamidae (Tinamous)
Undulated Tinamou,Crypturellus undulatus,Tinamiformes,Tinamidae (Tinamous)
Pale-browed Tinamou,Crypturellus transfasciatus,Tinamiformes,Tinamidae (Tinamous)
Brazilian Tinamou,Crypturellus strigulosus,Tinamiformes,Tinamidae (Tinamous)
Gray-legged Tinamou,Crypturellus duidae,Tinamiformes,Tinamidae (Tinamous)
Red-legged Tinamou,Crypturellus erythropus,Tinamiformes,Tinamidae (Tinamous)
Yellow-legged Tinamou,Crypturellus noctivagus,Tinamiformes,Tinamidae (Tinamous)
Black-capped Tinamou,Crypturellus atrocapillus,Tinamiformes,Tinamidae (Tinamous)
Slaty-breasted Tinamou,Crypturellus boucardi,Tinamiformes,Tinamidae (Tinamous)
Choco Tinamou,Crypturellus kerriae,Tinamiformes,Tinamidae (Tinamous)
Variegated Tinamou,Crypturellus variegatus,Tinamiformes,Tinamidae (Tinamous)
Thicket Tinamou,Crypturellus cinnamomeus,Tinamiformes,Tinamidae (Tinamous)
Rusty Tinamou,Crypturellus brevirostris,Tinamiformes,Tinamidae (Tinamous)
Bartlett's Tinamou,Crypturellus bartletti,Tinamiformes,Tinamidae (Tinamous)
Small-billed Tinamou,Crypturellus parvirostris,Tinamiformes,Tinamidae (Tinamous)
Barred Tinamou,Crypturellus casiquiare,Tinamiformes,Tinamidae (Tinamous)
Tataupa Tinamou,Crypturellus tataupa,Tinamiformes,Tinamidae (Tinamous)
Red-winged Tinamou,Rhynchotus rufescens,Tinamiformes,Tinamidae (Tinamous)
Huayco Tinamou,Rhynchotus maculicollis,Tinamiformes,Tinamidae (Tinamous)
Taczanowski's Tinamou,Nothoprocta taczanowskii,Tinamiformes,Tinamidae (Tinamous)
Ornate Tinamou,Nothoprocta ornata,Tinamiformes,Tinamidae (Tinamous)
Chilean Tinamou,Nothoprocta perdicaria,Tinamiformes,Tinamidae (Tinamous)
Brushland Tinamou,Nothoprocta cinerascens,Tinamiformes,Tinamidae (Tinamous)
Andean Tinamou,Nothoprocta pentlandii,Tinamiformes,Tinamidae (Tinamous)
Curve-billed Tinamou,Nothoprocta curvirostris,Tinamiformes,Tinamidae (Tinamous)
White-bellied Nothura,Nothura boraquira,Tinamiformes,Tinamidae (Tinamous)
Lesser Nothura,Nothura minor,Tinamiformes,Tinamidae (Tinamous)
Darwin's Nothura,Nothura darwinii,Tinamiformes,Tinamidae (Tinamous)
Spotted Nothura,Nothura maculosa,Tinamiformes,Tinamidae (Tinamous)
Dwarf Tinamou,Taoniscus nanus,Tinamiformes,Tinamidae (Tinamous)
Elegant Crested-Tinamou,Eudromia elegans,Tinamiformes,Tinamidae (Tinamous)
Quebracho Crested-Tinamou,Eudromia formosa,Tinamiformes,Tinamidae (Tinamous)
Puna Tinamou,Tinamotis pentlandii,Tinamiformes,Tinamidae (Tinamous)
Patagonian Tinamou,Tinamotis ingoufi,Tinamiformes,Tinamidae (Tinamous)
Southern Cassowary,Casuarius casuarius,Casuariiformes,Casuariidae (Cassowaries and Emu)
Dwarf Cassowary,Casuarius bennetti,Casuariiformes,Casuariidae (Cassowaries and Emu)
Northern Cassowary,Casuarius unappendiculatus,Casuariiformes,Casuariidae (Cassowaries and Emu)
Emu,Dromaius novaehollandiae,Casuariiformes,Casuariidae (Cassowaries and Emu)
Southern Brown Kiwi,Apteryx australis,Apterygiformes,Apterygidae (Kiwis)
Okarito Brown Kiwi,Apteryx rowi,Apterygiformes,Apterygidae (Kiwis)
North Island Brown Kiwi,Apteryx mantelli,Apterygiformes,Apterygidae (Kiwis)
Little Spotted Kiwi,Apteryx owenii,Apterygiformes,Apterygidae (Kiwis)
Great Spotted Kiwi,Apteryx haastii,Apterygiformes,Apterygidae (Kiwis)
Horned Screamer,Anhima cornuta,Anseriformes,Anhimidae (Screamers)
Southern Screamer,Chauna torquata,Anseriformes,Anhimidae (Screamers)
Northern Screamer,Chauna chavaria,Anseriformes,Anhimidae (Screamers)
Magpie Goose,Anseranas semipalmata,Anseriformes,Anseranatidae (Magpie Goose)
Spotted Whistling-Duck,Dendrocygna guttata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Plumed Whistling-Duck,Dendrocygna eytoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-faced Whistling-Duck,Dendrocygna viduata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-bellied Whistling-Duck,Dendrocygna autumnalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
West Indian Whistling-Duck,Dendrocygna arborea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Fulvous Whistling-Duck,Dendrocygna bicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Wandering Whistling-Duck,Dendrocygna arcuata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser Whistling-Duck,Dendrocygna javanica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-backed Duck,Thalassornis leuconotus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bar-headed Goose,Anser indicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Emperor Goose,Anser canagicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Snow Goose,Anser caerulescens,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ross's Goose,Anser rossii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Graylag Goose,Anser anser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Swan Goose,Anser cygnoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater White-fronted Goose,Anser albifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser White-fronted Goose,Anser erythropus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Taiga Bean-Goose,Anser fabalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tundra Bean-Goose,Anser serrirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Pink-footed Goose,Anser brachyrhynchus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Brant,Branta bernicla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Barnacle Goose,Branta leucopsis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cackling Goose,Branta hutchinsii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Canada Goose,Branta canadensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hawaiian Goose,Branta sandvicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-breasted Goose,Branta ruficollis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cape Barren Goose,Cereopsis novaehollandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Freckled Duck,Stictonetta naevosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Blue-winged Goose,Cyanochen cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mute Swan,Cygnus olor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black Swan,Cygnus atratus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-necked Swan,Cygnus melancoryphus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Trumpeter Swan,Cygnus buccinator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tundra Swan,Cygnus columbianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Whooper Swan,Cygnus cygnus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Coscoroba Swan,Coscoroba coscoroba,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Knob-billed Duck,Sarkidiornis melanotos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Comb Duck,Sarkidiornis sylvicola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hartlaub's Duck,Pteronetta hartlaubii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Orinoco Goose,Oressochen jubatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Andean Goose,Oressochen melanopterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Upland Goose,Chloephaga picta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Kelp Goose,Chloephaga hybrida,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ashy-headed Goose,Chloephaga poliocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy-headed Goose,Chloephaga rubidiceps,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Radjah Shelduck,Radjah radjah,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Egyptian Goose,Alopochen aegyptiaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy Shelduck,Tadorna ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
South African Shelduck,Tadorna cana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Australian Shelduck,Tadorna tadornoides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Paradise Shelduck,Tadorna variegata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Shelduck,Tadorna tadorna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Spur-winged Goose,Plectropterus gambensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Flying Steamer-Duck,Tachyeres patachonicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Flightless Steamer-Duck,Tachyeres pteneres,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Falkland Steamer-Duck,Tachyeres brachypterus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-headed Steamer-Duck,Tachyeres leucocephalus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Crested Duck,Lophonetta specularioides,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Spectacled Duck,Speculanas specularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Muscovy Duck,Cairina moschata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Green Pygmy-Goose,Nettapus pulchellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cotton Pygmy-Goose,Nettapus coromandelianus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
African Pygmy-Goose,Nettapus auritus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ringed Teal,Callonetta leucophrys,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Wood Duck,Aix sponsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mandarin Duck,Aix galericulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Maned Duck,Chenonetta jubata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Brazilian Teal,Amazonetta brasiliensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Blue Duck,Hymenolaimus malacorhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Torrent Duck,Merganetta armata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Salvadori's Teal,Salvadorina waigiuensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Baikal Teal,Sibirionetta formosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Garganey,Spatula querquedula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hottentot Teal,Spatula hottentota,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Silver Teal,Spatula versicolor,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Puna Teal,Spatula puna,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Blue-winged Teal,Spatula discors,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cinnamon Teal,Spatula cyanoptera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red Shoveler,Spatula platalea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cape Shoveler,Spatula smithii,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Australian Shoveler,Spatula rhynchotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Shoveler,Spatula clypeata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Gadwall,Mareca strepera,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Falcated Duck,Mareca falcata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eurasian Wigeon,Mareca penelope,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
American Wigeon,Mareca americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Chiloe Wigeon,Mareca sibilatrix,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
African Black Duck,Anas sparsa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Yellow-billed Duck,Anas undulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Meller's Duck,Anas melleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Pacific Black Duck,Anas superciliosa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Laysan Duck,Anas laysanensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hawaiian Duck,Anas wyvilliana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Philippine Duck,Anas luzonica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Indian Spot-billed Duck,Anas poecilorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eastern Spot-billed Duck,Anas zonorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mallard,Anas platyrhynchos,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mexican Duck,Anas diazi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
American Black Duck,Anas rubripes,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Mottled Duck,Anas fulvigula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Cape Teal,Anas capensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-cheeked Pintail,Anas bahamensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-billed Duck,Anas erythrorhyncha,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Northern Pintail,Anas acuta,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Eaton's Pintail,Anas eatoni,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Yellow-billed Pintail,Anas georgica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Green-winged Teal,Anas crecca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Andean Teal,Anas andium,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Yellow-billed Teal,Anas flavirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Andaman Teal,Anas albogularis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Sunda Teal,Anas gibberifrons,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Gray Teal,Anas gracilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Chestnut Teal,Anas castanea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bernier's Teal,Anas bernieri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Auckland Islands Teal,Anas aucklandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Campbell Islands Teal,Anas nesiotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Brown Teal,Anas chlorotis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Pink-eared Duck,Malacorhynchus membranaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Marbled Teal,Marmaronetta angustirostris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-winged Duck,Asarcornis scutulata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-crested Pochard,Netta rufina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Southern Pochard,Netta erythrophthalma,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Rosy-billed Pochard,Netta peposaca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Canvasback,Aythya valisineria,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Redhead,Aythya americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Pochard,Aythya ferina,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ring-necked Duck,Aythya collaris,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ferruginous Duck,Aythya nyroca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Madagascar Pochard,Aythya innotata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Baer's Pochard,Aythya baeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hardhead,Aythya australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Tufted Duck,Aythya fuligula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
New Zealand Scaup,Aythya novaeseelandiae,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Greater Scaup,Aythya marila,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lesser Scaup,Aythya affinis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Steller's Eider,Polysticta stelleri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Spectacled Eider,Somateria fischeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
King Eider,Somateria spectabilis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Eider,Somateria mollissima,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Harlequin Duck,Histrionicus histrionicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Surf Scoter,Melanitta perspicillata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Velvet Scoter,Melanitta fusca,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-winged Scoter,Melanitta deglandi,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Stejneger's Scoter,Melanitta stejnegeri,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Scoter,Melanitta nigra,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black Scoter,Melanitta americana,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Long-tailed Duck,Clangula hyemalis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Bufflehead,Bucephala albeola,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Goldeneye,Bucephala clangula,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Barrow's Goldeneye,Bucephala islandica,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Smew,Mergellus albellus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Hooded Merganser,Lophodytes cucullatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Common Merganser,Mergus merganser,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Brazilian Merganser,Mergus octosetaceus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Red-breasted Merganser,Mergus serrator,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Scaly-sided Merganser,Mergus squamatus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Black-headed Duck,Heteronetta atricapilla,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Masked Duck,Nomonyx dominicus,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Ruddy Duck,Oxyura jamaicensis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Andean Duck,Oxyura ferruginea,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
White-headed Duck,Oxyura leucocephala,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Maccoa Duck,Oxyura maccoa,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Lake Duck,Oxyura vittata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Blue-billed Duck,Oxyura australis,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Musk Duck,Biziura lobata,Anseriformes,"Anatidae (Ducks, Geese, and Waterfowl)"
Australian Brushturkey,Alectura lathami,Galliformes,Megapodiidae (Megapodes)
Wattled Brushturkey,Aepypodius arfakianus,Galliformes,Megapodiidae (Megapodes)
Waigeo Brushturkey,Aepypodius bruijnii,Galliformes,Megapodiidae (Megapodes)
Red-billed Brushturkey,Talegalla cuvieri,Galliformes,Megapodiidae (Megapodes)
Yellow-legged Brushturkey,Talegalla fuscirostris,Galliformes,Megapodiidae (Megapodes)
Red-legged Brushturkey,Talegalla jobiensis,Galliformes,Megapodiidae (Megapodes)
Malleefowl,Leipoa ocellata,Galliformes,Megapodiidae (Megapodes)
Maleo,Macrocephalon maleo,Galliformes,Megapodiidae (Megapodes)
Moluccan Scrubfowl,Eulipoa wallacei,Galliformes,Megapodiidae (Megapodes)
Niuafoou Scrubfowl,Megapodius pritchardii,Galliformes,Megapodiidae (Megapodes)
Micronesian Scrubfowl,Megapodius laperouse,Galliformes,Megapodiidae (Megapodes)
Nicobar Scrubfowl,Megapodius nicobariensis,Galliformes,Megapodiidae (Megapodes)
Tabon Scrubfowl,Megapodius cumingii,Galliformes,Megapodiidae (Megapodes)
Sula Scrubfowl,Megapodius bernsteinii,Galliformes,Megapodiidae (Megapodes)
Tanimbar Scrubfowl,Megapodius tenimberensis,Galliformes,Megapodiidae (Megapodes)
Dusky Scrubfowl,Megapodius freycinet,Galliformes,Megapodiidae (Megapodes)
Biak Scrubfowl,Megapodius geelvinkianus,Galliformes,Megapodiidae (Megapodes)
Forsten's Scrubfowl,Megapodius forsteni,Galliformes,Megapodiidae (Megapodes)
Melanesian Scrubfowl,Megapodius eremita,Galliformes,Megapodiidae (Megapodes)
Vanuatu Scrubfowl,Megapodius layardi,Galliformes,Megapodiidae (Megapodes)
New Guinea Scrubfowl,Megapodius decollatus,Galliformes,Megapodiidae (Megapodes)
Orange-footed Scrubfowl,Megapodius reinwardt,Galliformes,Megapodiidae (Megapodes)
Plain Chachalaca,Ortalis vetula,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Gray-headed Chachalaca,Ortalis cinereiceps,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Chestnut-winged Chachalaca,Ortalis garrula,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Rufous-vented Chachalaca,Ortalis ruficauda,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Rufous-headed Chachalaca,Ortalis erythroptera,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Rufous-bellied Chachalaca,Ortalis wagleri,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
West Mexican Chachalaca,Ortalis poliocephala,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Chaco Chachalaca,Ortalis canicollis,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
White-bellied Chachalaca,Ortalis leucogastra,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Colombian Chachalaca,Ortalis columbiana,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Speckled Chachalaca,Ortalis guttata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
East Brazilian Chachalaca,Ortalis araucuan,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Scaled Chachalaca,Ortalis squamata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Variable Chachalaca,Ortalis motmot,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Buff-browed Chachalaca,Ortalis superciliaris,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Band-tailed Guan,Penelope argyrotis,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Bearded Guan,Penelope barbata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Baudo Guan,Penelope ortoni,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Andean Guan,Penelope montagnii,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Marail Guan,Penelope marail,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Rusty-margined Guan,Penelope superciliaris,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Red-faced Guan,Penelope dabbenei,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Spix's Guan,Penelope jacquacu,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Crested Guan,Penelope purpurascens,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Cauca Guan,Penelope perspicax,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
White-winged Guan,Penelope albipennis,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Dusky-legged Guan,Penelope obscura,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
White-crested Guan,Penelope pileata,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Chestnut-bellied Guan,Penelope ochrogaster,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
White-browed Guan,Penelope jacucaca,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Trinidad Piping-Guan,Pipile pipile,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Blue-throated Piping-Guan,Pipile cumanensis,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
Red-throated Piping-Guan,Pipile cujubi,Galliformes,"Cracidae (Guans, Chachalacas, and Curassows)"
